province,district,town
Cabo Delgado,Palma,Palma
Cabo Delgado,Palma,Pundanhar
Cabo Delgado,Palma,Quionga
Cabo Delgado,Pemba,Metuge Sede
Cabo Delgado,Pemba,Mieze
Cabo Delgado,Pemba,Pemba Cidade
Cabo Delgado,Quissanga,Bilibiza
Cabo Delgado,Quissanga,Mahate
Gaza,Bilene,Bilene Macia
Gaza,Bilene,Chissano
Gaza,Bilene,Macuane
Gaza,Bilene,Mazivila
Gaza,Bilene,Messano
Gaza,Bilene,Praia De Bilene
Gaza,Chókwè,Cidade Chokwe
Gaza,Chókwè,Lionde
Gaza,Chókwè,Macarretane
Gaza,Chókwè,Xilembene
Gaza,Chibuto,Alto Changane
Gaza,Chibuto,Chaimite
Gaza,Chibuto,Changanine
Gaza,Chibuto,Chibuto
Gaza,Chibuto,Godide
Gaza,Chibuto,Malehice
Gaza,Chicualacuala,Chicualacuala (E.M. Sede)
Gaza,Chicualacuala,Mapai
Gaza,Chicualacuala,Pafuri
Gaza,Chigubo,Chigubo
Gaza,Chigubo,Ndindiza
Gaza,Guijá,Chivonguene
Gaza,Guijá,Mubanguene
Gaza,Guijá,Nalazi
Gaza,Guijá,Vila De Canicado
Gaza,Mabalane,Combomune
Gaza,Mabalane,Mabalane
Gaza,Mabalane,Ntlavane
Gaza,Mandlakazi,Chalala
Gaza,Mandlakazi,Chibonzane
Gaza,Mandlakazi,Chidenguele
Gaza,Mandlakazi,Macuacua
Gaza,Mandlakazi,Mandlacaze
Gaza,Mandlakazi,Mazucane
Gaza,Mandlakazi,Nguzene
Gaza,Massangena,Massangena
Gaza,Massangena,Muvue
Gaza,Massingir,Massingir
Gaza,Massingir,Mavodze
Gaza,Massingir,Zulo
Gaza,Xai-Xai,Chicunbane
Gaza,Xai-Xai,Chongoene
Gaza,Xai-Xai,Cidade De Xai-Xai
Gaza,Xai-Xai,Zonguene
Inhambane,Funhalouro,Funhalouro
Inhambane,Funhalouro,Tome
Inhambane,Govuro,Nova Mambone (Mambone Sede)
Inhambane,Govuro,Save
Inhambane,Homoine,Homoine - Sede
Inhambane,Homoine,Maxixe (Cidade)
Inhambane,Homoine,Pembe
Inhambane,Inharrime,Inharrime - Sede
Inhambane,Inharrime,Mucumbi
Inhambane,Inhassoro,Inhassoro
Inhambane,Jangamo,Cumbana
Inhambane,Jangamo,Inhambane (Cidade)
Inhambane,Jangamo,Jangamo
Inhambane,Mabote,Mabote
Inhambane,Mabote,Zimane
Inhambane,Mabote,Zinave
Inhambane,Massinga,Chicomo
Inhambane,Massinga,Massinga
Inhambane,Morrumbene,Mocoduene
Inhambane,Morrumbene,Morrumbene
Inhambane,Panda,Mawayela
Inhambane,Panda,Panda
Inhambane,Panda,Urrene
Inhambane,Vilanculos,Mapinhane
Inhambane,Vilanculos,Vilankulo
Inhambane,Zavala,Quissico
Inhambane,Zavala,Zandamela
Manica,Barue,Cantadica
Manica,Barue,Choa
Manica,Barue,Nhampassa
Manica,Gondola,Amatongas
Manica,Gondola,Cafumpe
Manica,Gondola,Gondola
Manica,Gondola,Inchope
Manica,Gondola,Macate
Manica,Gondola,Matsinho 2
Manica,Gondola,Matsinho
Manica,Gondola,Urbana 1 (Sede)
Manica,Guro,Dacata
Manica,Guro,Guro Sede
Manica,Guro,Mandie
Manica,Guro,Mungari
Manica,Guro,Nhamassonge
Manica,Machaze,Machaze (Chitobe Sede)
Manica,Machaze,Save
Manica,Macossa,Macossa
Manica,Macossa,Nguawala
Manica,Macossa,Nhamangua
Manica,Manica,Machipanda
Manica,Manica,Manica
Manica,Manica,Mavonde
Manica,Manica,Messica
Manica,Manica,Vanduzi
Manica,Mossurize,Chiurairue
Manica,Mossurize,Dacata
Manica,Mossurize,Espungabera
Manica,Sussundenga,Dombe
Manica,Sussundenga,Muhoa
Manica,Sussundenga,Rotanda
Manica,Sussundenga,Sussundenga
Manica,Tambara,Buzua
Manica,Tambara,Nhacafula
Manica,Tambara,Nhacolo
Maputo City,Boane,Matola Rio
Maputo City,Maputo,Cidade De Matola
Maputo City,Maputo,Maputo 1
Maputo City,Maputo,Maputo 2
Maputo City,Maputo,Maputo 3
Maputo City,Maputo,Maputo 4
Maputo City,Maputo,Maputo 5
Maputo,Boane,Boane
Maputo,Magude,Magude
Maputo,Magude,Mahele
Maputo,Magude,Mapulanguene
Maputo,Magude,Motaze
Maputo,Magude,Panjane
Maputo,Manhiça,3 De Fevereiro
Maputo,Manhiça,Calanga
Maputo,Manhiça,Ilha Josina Machel
Maputo,Manhiça,Maluana
Maputo,Manhiça,Manhica - Sede
Maputo,Manhiça,Xinavane
Maputo,Marracuene,Machubo
Maputo,Marracuene,Marracuene
Maputo,Matutuíne,Catembe
Maputo,Matutuíne,Catuane
Maputo,Matutuíne,Machangulo
Maputo,Matutuíne,Missevene (Bela Vista)
Maputo,Matutuíne,Zitundo
Maputo,Moamba,Moamba
Maputo,Moamba,Pessene
Maputo,Moamba,Ressano Garcia
Maputo,Moamba,Sabie
Maputo,Namaacha,Changalane
Maputo,Namaacha,Namaacha
Nampula,Angoche,Angoche
Nampula,Angoche,Aube
Nampula,Angoche,Boila - Nametoria
Nampula,Angoche,Namaponda
Nampula,Erati,Intete
Nampula,Erati,Nacaroa
Nampula,Erati,Saua-Saua
Nampula,Lalaua,Lalaua
Nampula,Lalaua,Meti
Nampula,Malema,Chihulo
Nampula,Malema,Malema
Nampula,Malema,Mutuali (Canhunha)
Nampula,Meconta,7 De Abril
Nampula,Meconta,Corrane
Nampula,Meconta,Meconta
Nampula,Meconta,Namialo
Nampula,Mecuburi,Mecuburi
Nampula,Mecuburi,Mihlana (Milhana)
Nampula,Mecuburi,Muite
Nampula,Mecuburi,Namina
Nampula,Memba,Chipene
Nampula,Memba,Mazua
Nampula,Memba,Memba
Nampula,Mogovolas,Calipo
Nampula,Mogovolas,Ilute (Luluti)
Nampula,Mogovolas,Muatua
Nampula,Mogovolas,Nametil - Sede
Nampula,Mogovolas,Nanhupo
Nampula,Moma,Chalaua
Nampula,Moma,Larde
Nampula,Moma,Macone - Sede (Moma Sede)
Nampula,Moma,Mucuali
Nampula,Monapo,Itoculo
Nampula,Monapo,Monapo - Sede
Nampula,Monapo,Netia
Nampula,Mongincual,Chunga (Liupo)
Nampula,Mongincual,Namige 2
Nampula,Mongincual,Namingue
Nampula,Mongincual,Quinga
Nampula,Mongincual,Quixaxe
Nampula,Mossuril,Ilha De Mocambique (Cidade)
Nampula,Mossuril,Lunga
Nampula,Mossuril,Matibane
Nampula,Mossuril,Mossuril - Sede
Nampula,Muecate,Imala
Nampula,Muecate,Mucoluane (Muculuone)
Nampula,Muecate,Muecate
Nampula,Murrupula,Chinga
Nampula,Murrupula,Murrupula
Nampula,Murrupula,Nehessine
Nampula,Nacala Velha,Cidade De Nacala
Nampula,Nacala Velha,Covo
Nampula,Nacala Velha,Nacala-Velha
Nampula,Namapa,Alua
Nampula,Namapa,Lurio
Nampula,Namapa,Namapa-Erati
Nampula,Namapa,Namiroa
Nampula,Nampula,Anchilo
Nampula,Nampula,Cidade De Nampula
Nampula,Nampula,Mutivaze
Nampula,Nampula,Namaita
Nampula,Nampula,Rapale
Nampula,Ribaue,Iapala
Nampula,Ribaue,Kunle (Cunle)
Nampula,Ribaue,Ribaue
Niassa,Cuamba,Etatara
Niassa,Cuamba,Lurio 2
Niassa,Cuamba,Lurio
Niassa,Lago Niassa,Cobue
Niassa,Lago Niassa,Lunho
Niassa,Lago Niassa,Meluluca (Metangula Sede)
Niassa,Lago Niassa,Meponda
Niassa,Lago,Cobue
Niassa,Lago,Lunho
Niassa,Lago,Maniamba
Niassa,Lago,Meluluca (Metangula Sede)
Niassa,Lichinga,Chimbonila
Niassa,Lichinga,Cidade De Lichinga
Niassa,Lichinga,Lione
Niassa,Lichinga,Meponda
Niassa,Maúa,Maiaca
Niassa,Maúa,Maua
Niassa,Majune,Majune (Malanga Sede)
Niassa,Majune,Muaquia
Niassa,Majune,Nairrubi
Niassa,Mandimba,Mitande
Niassa,Marrupa,Marangira
Niassa,Marrupa,Marrupa-Sede
Niassa,Marrupa,Nungo
Niassa,Mavago,M'Sawize
Niassa,Mavago,Mavago-Sede
Niassa,Mecanhelas,Chiuta
Niassa,Mecanhelas,Mandimba-Sede
Niassa,Mecanhelas,Mecanhelas Sede (Insaca Sed
Niassa,Mecula,Matondovela
Niassa,Mecula,Mecula-Sede
Niassa,Metarica,Metarica
Niassa,Metarica,Nacumua
Niassa,Muembe,Chiconono
Niassa,Muembe,Muembe
Niassa,N'gauma,Itepela
Niassa,N'gauma,Massangulo
Niassa,Nipepe,Muipite
Niassa,Nipepe,Nipepe
Niassa,Sanga,Lussimbeze
Niassa,Sanga,Macaloge
Niassa,Sanga,Matchedje
Niassa,Sanga,Sanga (Unango Sede)
Sofala,Buzi,Buzi
Sofala,Buzi,Estaquinha
Sofala,Buzi,Sofala
Sofala,Caia,Caia - Sede
Sofala,Caia,Murraca
Sofala,Caia,Sena
Sofala,Chemba,Chemba
Sofala,Chemba,Chiramba
Sofala,Chemba,Mulima
Sofala,Cheringoma,Inhaminga
Sofala,Cheringoma,Inhamitanga
Sofala,Chibabava,Chibabava
Sofala,Chibabava,Gonda (Gooda)
Sofala,Chibabava,Muxungue
Sofala,Dondo,Cidade Da Beira
Sofala,Dondo,Dondo
Sofala,Dondo,Mafambisse
Sofala,Gorongosa,Gororngosa-Sede
Sofala,Gorongosa,Nhamadzi
Sofala,Gorongosa,Vanduzi (Vunduzi)
Sofala,Machanga,Divinhe
Sofala,Machanga,Machanga
Sofala,Maringue,Canxixe
Sofala,Maringue,Maringue
Sofala,Maringue,Subui (Subwe)
Sofala,Marromeu,Chupanga
Sofala,Marromeu,Marromeu
Sofala,Muanza,Galinha
Sofala,Muanza,Muanza
Sofala,Nhamatanda,Nhamatanda
Sofala,Nhamatanda,Tica
Tete,Angónia,Domue
Tete,Angónia,Ulongoe
Tete,Cahora Bassa,Chitholo
Tete,Cahora Bassa,Chitima
Tete,Cahora Bassa,Songo
Tete,Changara,Chioco
Tete,Changara,Luenha
Tete,Changara,Mavara (Marara)
Tete,Changara,Sede
Tete,Chifunde,Chifunde
Tete,Chifunde,Mualadzi
Tete,Chifunde,N'Sadzo
Tete,Chiuta,Kazula
Tete,Chiuta,Manje
Tete,Macanga,Chidzolomondo
Tete,Macanga,Furancungo
Tete,Magoe,Chinhopo (Chinthopo)
Tete,Magoe,Mapheende
Tete,Magoe,Mukumbura
Tete,Maravia,Chipera
Tete,Maravia,Chiputo
Tete,Maravia,Fingoe
Tete,Maravia,Molowera (Malowera)
Tete,Moatize,Kambulatsitsi
Tete,Moatize,Moatize
Tete,Moatize,Zobue
Tete,Mutarara,Chare
Tete,Mutarara,Doa
Tete,Mutarara,Inhangoma
Tete,Mutarara,Nhamayabue
Tete,Tsangano,Ntengo-Wambalane
Tete,Tsangano,Tsangano
Tete,Zumbu,Muze
Tete,Zumbu,Zambue
Tete,Zumbu,Zumbo
Zambezia,Alto Molocue,Nauela
Zambezia,Alto Molocue,Sede (Alto Molocue)
Zambezia,Chinde,Chinde - Sede
Zambezia,Chinde,Luabo
Zambezia,Chinde,Mecaune (Micaune)
Zambezia,Gile,Alto Ligonha
Zambezia,Gile,Gile
Zambezia,Gurue,Cidade De Gurue
Zambezia,Gurue,Lioma
Zambezia,Gurue,Nepuagiua (Mepuagiua)
Zambezia,Ile,Ile
Zambezia,Ile,Mulevala (Namigonha)
Zambezia,Ile,Socone
Zambezia,Inhassunge,Gonhane
Zambezia,Inhassunge,Mucupia (Inhassunge Sede)
Zambezia,Lugela,Lugela
Zambezia,Lugela,Manhamade
Zambezia,Lugela,Muabanama
Zambezia,Lugela,Tacuane
Zambezia,Maganja da Costa,Bojone (Bajone)
Zambezia,Maganja da Costa,Maganja Da Costa
Zambezia,Maganja da Costa,Mocubela
Zambezia,Maganja da Costa,Nante (Baixo Licungo)
Zambezia,Milange,Majaua
Zambezia,Milange,Milange
Zambezia,Milange,Molumbo
Zambezia,Milange,Mongue
Zambezia,Mocuba,Cidade De Mocuba
Zambezia,Mocuba,Mugeba
Zambezia,Mocuba,Namajavira
Zambezia,Mopeia,Campo
Zambezia,Mopeia,Mopeia
Zambezia,Morrumbala,Chire
Zambezia,Morrumbala,Derre
Zambezia,Morrumbala,Megaza
Zambezia,Morrumbala,Morrumbala
Zambezia,Namacurra,Mucuse (Macuze)
Zambezia,Namacurra,Namacurra
Zambezia,Namarroi,Namarroi
Zambezia,Namarroi,Regone
Zambezia,Nicoadala,Cidade De Quelimane
Zambezia,Nicoadala,Maquival
Zambezia,Nicoadala,Nicodala
Zambezia,Pebane,Mulela Mualama
Zambezia,Pebane,Naburi
Zambezia,Pebane,Pebane
Cabo Delgado,Ibo,
Cabo Delgado,Mecúfi,
Cabo Delgado,Metuge,
Cabo Delgado,Mocímboa da Praia,
Cabo Delgado,Pemba e,
Gaza,Chongoene,
Gaza,Limpopo,
Gaza,Manjacaze,
Gaza,Mapai,
Gaza,Massingir e,
Inhambane,Homoíne,
Inhambane,Inhambane,
Inhambane,Maxixe,
Inhambane,Vilanculos e,
Manica,Bárue,
Manica,Chimoio,
Manica,Macate,
Manica,Tambara e,
Manica,Vanduzi,
Maputo,Matola,
Maputo,Moamba e,
Nampula,Eráti,
Nampula,Ilha de Moçambique,
Nampula,Larde,
Nampula,Liúpo,
Nampula,Mecubúri,
Nampula,Mogincual,
Nampula,Nacala-a-Velha,
Nampula,Nacala Porto,
Nampula,Nacarôa,
Nampula,Rapale e,
Nampula,Ribaué,
Niassa,Chimbonila,
Niassa,Nipepe e,
Sofala,Beira,
Sofala,Búzi,
Sofala,Maringué,
Sofala,Muanza e,
Tete,Cahora-Bassa,
Tete,Dôa,
Tete,Magoé,
Tete,Marara,
Tete,Marávia,
Tete,Tete,
Tete,Tsangano e,
Tete,Zumbo,
Zambezia,Alto Molócue,
Zambezia,Derre,
Zambezia,Gilé,
Zambezia,Gurué,
Zambezia,Luabo,
Zambezia,Mocubela,
Zambezia,Molumbo,
Zambezia,Mulevala,
Zambezia,Quelimane,
Ciadade de Maputo,Kampfumo,
Ciadade de Maputo,Nlhamankulu,
Ciadade de Maputo,Kamaxakeni,
Ciadade de Maputo,Kamavota,
Ciadade de Maputo,Kamubukwana,
Ciadade de Maputo,Katembe,
Ciadade de Maputo,Kanyaka,
